Taxon,Lake,BMF.equal,BMF.01Phyto,BMF.01Nos,BMF.01Zoop,BMF.01zoop,BMF.01chiron,BMF.01Phyto,BMF.01Nostoc,BMF.PhytoOnly,BMF.NosOnly,BMF.ZoopOnly,BMF.ChironOnly
Zoop,BCL,0.149999166,NA,NA,NA,NA,NA,NA,NA,0.149999166,NA,NA,NA
Zoop,BSL,0.895093457,NA,NA,NA,NA,NA,NA,NA,0.895093457,NA,NA,NA
Zoop,HL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoop,LCL,0.072353217,NA,NA,NA,NA,NA,NA,NA,0.072353217,NA,NA,NA
Zoop,LSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoop,LWL,0.612150086,NA,NA,NA,NA,NA,NA,NA,0.612150086,NA,NA,NA
Zoop,STL,0.355650155,NA,NA,NA,NA,NA,NA,NA,0.355650155,NA,NA,NA
Zoop,TSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoop,WL,0.212419269,NA,NA,NA,NA,NA,NA,NA,0.212419269,NA,NA,NA
Snails,BCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snails,BSL,0.006453884,0.011712152,0.004454155,NA,NA,NA,0.011712152,0.004454155,0.004426166,0.011910188,NA,NA
Snails,HL,0.018198033,0.909901654,0.009265443,NA,NA,NA,0.909901654,0.009265443,0.009173547,1.119947341,NA,NA
Snails,LCL,0.000820382,NA,NA,NA,NA,NA,NA,NA,0.000820382,NA,NA,NA
Snails,LSL,0.063333289,0.10066161,0.046200696,NA,NA,NA,0.10066161,0.046200696,0.045947036,0.101887156,NA,NA
Snails,LWL,0.432041237,NA,NA,NA,NA,NA,NA,NA,0.432041237,NA,NA,NA
Snails,STL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snails,TSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snails,WL,0.008661114,0.122807185,0.004488848,NA,NA,NA,0.122807185,0.004488848,0.004445147,0.167990179,NA,NA
Chir,BCL,0.065661093,0.275560826,0.044327324,0.050094548,NA,NA,NA,NA,0.025239889,1.700979215,0.16826686,NA
Chir,BSL,0.083508262,0.098058114,0.066326749,0.090805442,NA,NA,NA,NA,0.062465706,21.74806439,0.069786798,NA
Chir,HL,0.190133501,0.093195718,0.006784914,0.007046562,NA,NA,NA,NA,0.003519995,2.467482753,0.073471294,NA
Chir,LCL,0.013442256,0.058274137,NA,0.00480144,NA,NA,NA,NA,0.004756899,NA,0.065745514,NA
Chir,LSL,0.0969409,0.101691069,0.046673187,NA,NA,NA,NA,NA,0.046416933,0.102929149,NA,NA
Chir,LWL,4.821364855,4.163787372,NA,2.574999174,NA,NA,NA,NA,2.565012042,NA,4.190168559,NA
Chir,STL,0.038692615,0.08507261,0.026736132,0.034293417,NA,NA,NA,NA,0.017954702,0.355436649,0.050484167,NA
Chir,TSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chir,WL,0.286878166,0.914530452,0.195340015,0.229869461,NA,NA,NA,NA,0.117284517,4.432394961,0.552136904,NA
Dyt,BCL,0.023391973,NA,NA,NA,0.077379709,0.013778635,NA,NA,NA,NA,0.013664033,0.081204543
Dyt,BSL,0.005999091,NA,NA,NA,0.040572985,0.003239004,NA,NA,NA,NA,0.003208874,0.045981104
Dyt,HL,0.055475742,NA,NA,NA,0.359886862,0.03005427,NA,NA,NA,NA,0.029775808,0.405271323
Dyt,LCL,0.020792015,NA,NA,NA,0.147553396,0.011183985,NA,NA,NA,NA,0.011079498,0.168520974
Dyt,LSL,0.257810357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257810357
Dyt,LWL,0.109044439,NA,NA,NA,0.068052272,0.274231075,NA,NA,NA,NA,0.282979509,0.067534159
Dyt,STL,0.005695524,NA,NA,NA,0.049876001,0.003020206,NA,NA,NA,NA,0.002991529,0.059256774
Dyt,TSL,0.204844987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204844987
Dyt,WL,0.082406646,NA,NA,NA,0.119338024,0.066724231,NA,NA,NA,NA,0.066425398,0.120306028
